sequence,meridian,range,township,sheet,status,rows,index_files,index_multi_name_pct,even_quarters_with_file_pct,pages,settlement_era_proxy,rail_arrival,cpr_belt,near_reserve,band,infill_zone,lon,lat,note
110,W2,22,22,R22,names-only,144,65,32.0,89.0,12,pre-1890,1905.0,no CPR land,True,T13-24,,-104.986,50.8774,
111,W2,22,25,R22,names-only,144,65,23.0,89.0,12,pre-1890,1905.0,no CPR land,False,T25-36,,-105.0077,51.1394,
112,W2,22,28,R22,names-only,144,72,38.0,85.0,12,1901-05,1907.0,no CPR land,False,T25-36,,-105.0302,51.4017,
113,W2,22,31,R22,names-only,144,70,33.0,89.0,12,1901-05,1907.0,no CPR land,False,T25-36,,-105.0526,51.6634,
114,W2,22,34,R22,names-only,144,64,33.0,89.0,12,1901-05,1907.0,no CPR land,False,T25-36,,-105.0524,51.9253,
115,W2,22,37,R22,names-only,144,65,20.0,86.0,12,pre-1890,1905.0,no CPR land,False,T37-48 (parkland),,-105.0756,52.1874,
116,W2,22,40,R22,names-only,144,56,27.0,72.0,12,1901-05,1920.0,no CPR land,False,T37-48 (parkland),,-105.1,52.4492,
117,W2,22,52,R22,empty,144,2,0.0,1.0,12,1911+,1932.0,no CPR land,False,T49+ (forest fringe),C,-105.1748,53.4963,few homestead files — quick township
118,W2,22,55,R22,empty,144,0,,0.0,12,no proxy,,no CPR land,False,T49+ (forest fringe),C,-105.2044,53.7586,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
119,W2,25,1,R25,names-only,144,113,53.0,79.0,12,1911+,1929.0,no CPR land,False,T1-12 (south),F,-105.2781,49.0432,
120,W2,25,4,R25,names-only,144,91,32.0,67.0,12,1890s,1911.0,no CPR land,False,T1-12 (south),F,-105.3015,49.3045,
121,W2,25,7,R25,names-only,144,111,54.0,76.0,12,1890s,1911.0,no CPR land,False,T1-12 (south),F,-105.326,49.5665,
122,W2,25,10,R25,names-only,144,106,54.0,72.0,12,1911+,1913.0,no CPR land,False,T1-12 (south),F,-105.3259,49.8284,
123,W2,25,13,R25,names-only,144,65,43.0,90.0,12,1901-05,1911.0,CPR belt,False,T13-24,,-105.3506,50.0906,
124,W2,25,16,R25,names-only,144,63,57.0,86.0,12,pre-1890,1882.0,CPR belt,False,T13-24,,-105.3743,50.3531,
125,W2,25,19,R25,names-only,144,65,32.0,89.0,13,pre-1890,1889.0,CPR belt,False,T13-24,,-105.4015,50.6153,
126,W2,25,22,R25,names-only,144,67,15.0,89.0,12,pre-1890,1889.0,no CPR land,False,T13-24,,-105.4015,50.8774,
127,W2,25,25,R25,names-only,144,65,34.0,89.0,12,1901-05,1911.0,no CPR land,False,T25-36,,-105.4265,51.1394,
128,W2,25,28,R25,names-only,144,66,29.0,86.0,12,1906-10,1911.0,no CPR land,False,T25-36,,-105.4522,51.4017,
129,W2,25,31,R25,names-only,144,65,20.0,89.0,12,pre-1890,1907.0,no CPR land,False,T25-36,,-105.4752,51.6634,
130,W2,25,34,R25,names-only,144,116,30.0,85.0,12,1901-05,1908.0,no CPR land,False,T25-36,,-105.4754,51.9252,
131,W2,25,37,R25,names-only,144,98,32.0,88.0,12,1901-05,1905.0,no CPR land,False,T37-48 (parkland),,-105.5035,52.1875,
132,W2,25,40,R25,names-only,144,69,25.0,88.0,12,1901-05,1911.0,no CPR land,False,T37-48 (parkland),,-105.5308,52.4492,
133,W2,25,52,R25,names-only,144,126,55.0,92.0,12,1911+,1924.0,no CPR land,False,T49+ (forest fringe),C,-105.617,53.4963,
134,W2,25,55,R25,empty,144,0,,0.0,12,no proxy,,no CPR land,False,T49+ (forest fringe),C,-105.6507,53.7585,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
135,W2,28,1,R28,names-only,144,91,52.0,61.0,12,1911+,1927.0,no CPR land,False,T1-12 (south),E,-105.6788,49.0435,
136,W2,28,4,R28,names-only,144,125,43.0,89.0,12,1911+,1926.0,no CPR land,False,T1-12 (south),E,-105.7048,49.3044,
137,W2,28,7,R28,names-only,144,125,42.0,86.0,12,1906-10,1912.0,no CPR land,False,T1-12 (south),E,-105.7331,49.5663,
138,W2,28,10,R28,names-only,144,103,44.0,74.0,13,1906-10,1913.0,no CPR land,False,T1-12 (south),E,-105.733,49.8284,
139,W2,28,13,R28,names-only,144,104,53.0,71.0,13,1906-10,1912.0,no CPR land,False,T13-24,E,-105.7599,50.0905,
140,W2,28,16,R28,names-only,144,80,38.0,89.0,13,pre-1890,1882.0,CPR belt,False,T13-24,E,-105.7867,50.3532,
141,W2,28,19,R28,names-only,144,59,37.0,82.0,12,pre-1890,1908.0,CPR belt,False,T13-24,E,-105.8173,50.6154,
142,W2,28,22,R28,empty,144,21,33.0,29.0,12,pre-1890,1889.0,no CPR land,False,T13-24,E,-105.817,50.8774,
143,W2,28,25,R28,empty,144,38,32.0,38.0,12,pre-1890,1889.0,no CPR land,False,T25-36,E,-105.8453,51.1394,
144,W2,28,28,R28,names-only,144,72,32.0,89.0,14,pre-1890,,no CPR land,False,T25-36,E,-105.8739,51.4017,
145,W2,28,31,R28,names-only,144,109,42.0,82.0,12,1906-10,1907.0,no CPR land,False,T25-36,E,-105.9009,51.6635,
146,W2,28,34,R28,names-only,144,100,35.0,89.0,12,1901-05,1907.0,no CPR land,False,T25-36,E,-105.9009,51.9254,
147,W2,28,37,R28,names-only,144,119,34.0,94.0,14,1901-05,1911.0,no CPR land,False,T37-48 (parkland),,-105.9314,52.1875,
148,W2,28,40,R28,names-only,120,48,21.0,78.0,12,1901-05,1905.0,no CPR land,False,T37-48 (parkland),,-105.9616,52.4493,
149,W2,28,52,R28,empty,24,0,,0.0,12,no proxy,,no CPR land,True,T49+ (forest fringe),C,-106.0569,53.4962,"no homestead files in index — likely reserve/forest/lease; low yield, keep for completeness"
150,W3,1,1,R01,names-only,144,120,56.0,83.0,12,1911+,1931.0,no CPR land,False,T1-12 (south),A,-106.0729,49.0435,
151,W3,1,4,R01,names-only,144,82,30.0,54.0,12,1911+,1927.0,no CPR land,False,T1-12 (south),A,-106.0733,49.3055,
152,W3,1,7,R01,names-only,144,120,42.0,86.0,12,1906-10,1912.0,no CPR land,False,T1-12 (south),A,-106.072,49.5673,
153,W3,1,10,R01,names-only,144,122,51.0,83.0,12,1906-10,1913.0,no CPR land,False,T1-12 (south),A,-106.072,49.8294,
154,W3,1,13,R01,empty,144,35,43.0,22.0,14,1906-10,1930.0,no CPR land,False,T13-24,A,-106.0731,50.0916,
155,W3,1,16,R01,names-only,144,47,30.0,60.0,12,pre-1890,1882.0,CPR belt,False,T13-24,A,-106.0735,50.3537,
