station,province,lat,lon,coord_source,1911_n,1911_cap,1912_n,1912_cap,1913_n,1913_cap,1914_n,1914_cap,1915_n,1915_cap,1916_n,1916_cap,1917_n,1917_cap,1918_n,1918_cap,1919_n,1919_cap,1920_n,1920_cap,1921_n,1921_cap,1923_n,1923_cap,1924_n,1924_cap,1925_n,1925_cap,1926_n,1926_cap,1927_n,1927_cap,1928_n,1928_cap,1929_n,1929_cap,1930_n,1930_cap,1939_n,1939_cap,1940_n,1940_cap,1941_n,1941_cap,1943_n,1943_cap
Ryerson,MANITOBA,49.78562,-101.67053,cgn_direct,,,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,2,65000,2,65000,2,65000,2,61000,2,62000,2,62000,4,124000,2,62000
Ryley,ALBERTA,53.29083,-112.42972,cgn_direct,1,30000,1,30000,1,30000,1,30000,1,30000,1,35000,,,1,35000,1,35000,1,35000,1,35000,2,65000,2,65000,2,65000,2,65000,2,65000,,,3,105000,3,105100,3,103000,3,135000,6,206000,3,103000
Ryley,MANITOBA,,,,,,,,,,,,,,,,1,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabine,ALBERTA,52.2075,-112.60889,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,2,60000,1,30000
"Saint John, N.B",QUEBEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1000000,,
Saltburn,SASKATCHEWAN,50.95004,-108.2507,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30000,1,35000,1,35000,1,35000,1,35000,2,70000,1,35000
Saltcoats,SASKATCHEWAN,51.04065,-102.16692,cgn_direct,3,110000,3,110000,3,110000,3,110000,3,110000,3,90000,4,175000,4,140000,4,140000,4,140000,,,5,175000,5,175000,5,175000,5,175000,5,175000,6,210000,6,210000,6,200000,6,192000,6,163000,12,326000,1,
Saltecoats,SASKATCHEWAN,51.04065,-102.16692,agent_high,,,,,,,,,,,,,,,,,,,,,4,140000,,,,,,,,,,,,,,,,,,,,,,,,
Salter,SASKATCHEWAN,52.28339,-108.21735,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,1,30000,1,30000,1,30000,1,30000,2,65000,2,65000,2,67000,2,65000,2,65000,4,130000,2,65000
Salvador,SASKATCHEWAN,52.16673,-109.50075,cgn_direct,2,60000,2,60000,3,90000,3,90000,4,120000,4,117000,4,115000,4,120000,4,120000,4,120000,4,120000,5,145000,5,145000,5,140000,5,150000,5,143000,5,141000,5,155000,5,148000,4,107000,4,107000,8,220000,1,
Sanctuary,SASKATCHEWAN,50.99271,-108.07399,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,2,65000,3,95000,3,95000,3,95000,3,95000,3,95000,3,100000,3,100000,3,90000,3,90000,6,180000,1,
Sander,SASKATCHEWAN,,,,,,,,,,,,1,30000,1,30000,1,30000,,,1,30000,1,30000,1,30000,1,30000,1,30000,,,,,,,,,,,,,,,,,,,,
Sandford,MANITOBA,49.6825,-97.44417,agent_high,,,,,,,,,,,,,,,1,25000,1,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandgren,SASKATCHEWAN,51.31672,-109.16741,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35000,1,35000,1,35000,1,35000,2,70000,1,35000
Sandwich,SASKATCHEWAN,53.13246,-108.00178,agent_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,2,29000
Sandwith,SASKATCHEWAN,53.13246,-108.00178,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,29000,2,29000,3,58000,,
Sandy Lake,MANITOBA,50.52722,-100.17833,cgn_direct,1,25000,2,57000,2,57000,1,32000,1,32000,2,44000,1,,2,60000,2,60000,2,70000,2,70000,2,70000,2,70000,2,70000,2,70000,2,70000,2,70000,2,70000,2,60000,2,60000,2,62000,4,124000,2,62000
Sandy Lake....(A),MANITOBA,50.52722,-100.17833,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,62000,,,,
Sanford,MANITOBA,49.6825,-97.44417,cgn_direct,1,29700,1,28750,1,30000,1,30000,1,30000,1,30000,1,25000,,,,,1,25000,1,25000,1,25000,1,25000,1,25000,1,25000,1,25000,1,50000,1,50000,1,50000,1,50000,2,100000,2,100000,1,50000
Sangudo,ALBERTA,53.88917,-114.90417,cgn_direct,,,,,,,,,,,,,1,30000,1,25000,1,25000,1,20000,1,20000,1,20000,1,20000,1,20000,1,12000,1,12000,1,14000,1,30000,1,30000,2,70000,2,71000,4,142000,2,71000
Sarnia,ONTARIO,42.98139,-82.31778,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3000000,1,3000000,1,3000000,2,6000000,1,3000000
Sarriar,SASKATCHEWAN,,,,,,,,,,,,,,,,1,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saskatoon,BRITISH COLUMBIA,,,,,,,,,,,,,,,,,,1,3500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saskatoon,MANITOBA,,,,,,,,,,,,,,,,,,1,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saskatoon,ONTARIO,,,,,,,,,,,,,,,,,,,,1,3500000,,,1,3500000,,,,,,,,,,,,,,,,,,,,,,,,
Saskatoon,SASKATCHEWAN,52.13965,-106.68618,cgn_direct,2,105000,1,80000,2,368000,2,368000,2,368000,2,368000,2,368000,3,368000,2,398000,2,398000,2,398000,3,738000,3,738000,3,538000,3,3538000,5,5138000,3,5100000,3,6060550,4,6703000,1,,1,25000,3,140000,1,
"Saskatoon.. ..... (See pages 110, 119 and 120)",SASKATCHEWAN,52.13965,-106.68618,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5500000
"Saskatoon..... (See pages 109, 118 and 121)",SASKATCHEWAN,52.13965,-106.68618,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
"Saskatoon..... (See pages 109, 119 and 121)",SASKATCHEWAN,52.13965,-106.68618,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25000,,,,,,
"Saskatoon..... (See pages 110, 119 and 121)",SASKATCHEWAN,52.13965,-106.68618,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2560500
"Saskatoon..... (See pages 110, 120 and 121)",SASKATCHEWAN,52.13965,-106.68618,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25000
"Saskatoon..... (See pages 113, 122 and 123)",SASKATCHEWAN,52.13965,-106.68618,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5500000,2,11000000,,
"Saskatoon..... (See pages 113, 122 and 124)",SASKATCHEWAN,52.13965,-106.68618,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2560500,,
"Saskatoon..... (See pages 113, 122 and 125)",SASKATCHEWAN,52.13965,-106.68618,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"Saskatoon..... (See pages 113, 123 and 124)",SASKATCHEWAN,52.13965,-106.68618,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50000,,
"Saskatoon..... (See pages 113, 123 and 125)",SASKATCHEWAN,52.13965,-106.68618,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25000,,,,
"Saskatoon..... (See pages, 109, 118 and 119)",SASKATCHEWAN,52.13965,-106.68618,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5500000,,,,,,
Saskatoon..... (also C.N.R.),SASKATCHEWAN,52.13965,-106.68618,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18000,2,18000,,,,,,,,,,
Scandia,ALBERTA,50.27806,-112.04667,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35000,1,35000,1,35000,1,35000,2,64000,2,96000,4,128000,2,64000
Scapa,ALBERTA,51.87306,-111.98806,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,62000,2,62000,3,102000,3,102000,3,102100,2,57000,2,57000,2,57000,2,57000
Scapia,ALBERTA,51.87306,-111.98806,agent_high,,,,,,,,,,,,,,,,,,,,,,,,,,,1,32000,,,,,,,,,,,,,,,,,,
Scarth,MANITOBA,49.73028,-100.94972,cgn_direct,1,20000,1,15000,1,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scentgrass,SASKATCHEWAN,52.95007,-108.25067,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35000,2,40000,3,65000,5,95000,2,30000
Sceptre,SASKATCHEWAN,50.86499,-109.26981,cgn_direct,,,,,4,130000,4,130000,5,180000,5,160000,6,190000,5,190000,6,220000,6,190000,6,190000,6,190000,6,190000,6,190000,6,190000,6,190000,6,190000,6,221000,6,213000,6,197000,5,175000,10,364000,1,
Schuler,ALBERTA,50.33139,-110.1075,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,3,95000,3,95000,1,,3,95000,5,170000,5,170000,5,170000,4,141000,4,173000,8,282000,4,141000
Sclanders Sdg,SASKATCHEWAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,70000,,,,,2,62000,2,62000,,,,
Sclanders Siding,SASKATCHEWAN,51.93769,-105.55595,agent_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,70000,2,65000,,,,,2,65000,1,
Scollard,ALBERTA,51.9375,-112.83389,cgn_direct,,,,,,,,,1,30000,1,30000,1,30000,1,30000,1,30000,1,50000,1,50000,1,50000,1,50000,1,50000,1,42000,1,58000,1,58000,1,58000,1,58000,1,53000,1,55000,2,50000,1,25000
Scope,ALBERTA,,,,,,,,,,,,,,,,,,,,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,,,,,,,,,,,,,,
Scotfield,ALBERTA,51.55722,-111.33917,cgn_direct,,,,,,,,,,,2,65000,2,65000,1,,2,65000,2,65000,2,65000,2,65000,,,,,,,2,65000,2,63000,2,63000,2,63000,2,57000,2,57000,4,114000,2,57000
Scotford,ALBERTA,53.76139,-113.08472,cgn_direct,,,,,,,,,,,,,1,35000,1,35000,1,35000,1,35000,1,35000,1,35000,1,35000,1,35000,2,65000,2,65000,2,65000,2,65000,2,65000,2,57000,2,60000,4,120000,2,60000
Scotsfield,ALBERTA,51.55722,-111.33917,agent_high,,,,,,,1,30000,,,,,,,,,,,,,,,,,2,65000,2,65000,2,65000,,,,,,,,,,,,,,,,
Scotsguard,SASKATCHEWAN,49.72346,-108.14665,cgn_direct,,,,,,,2,55000,3,85000,5,148000,6,178000,6,178000,6,178000,5,143000,,,2,58000,5,143000,6,175000,6,172000,6,172000,6,172000,6,180000,6,174000,5,123000,5,131000,10,252000,1,
Scotsville,ALBERTA,,,,,,,,,,,,1,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott,SASKATCHEWAN,52.36558,-108.82786,cgn_direct,3,90000,3,90000,3,90000,3,90000,3,90000,2,60000,1,30000,,,2,60000,2,60000,1,,1,,1,,2,60000,2,60000,2,60000,2,60000,1,,2,60000,2,55000,2,56000,4,112000,2,56000
Scottsburg,SASKATCHEWAN,50.17162,-107.1271,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,2,60000,,,,,,,,,,,,,,,,,,,,
Scottsburgh,SASKATCHEWAN,50.17162,-107.1271,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,2,60000,2,60000,2,60000,2,60000,1,,2,60000,2,57000,2,57000,4,114000,2,57000
Scout Lake,SASKATCHEWAN,49.36532,-106.00079,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,95000,3,95000,3,97000,3,97000,3,86000,3,83000,3,83000,6,176000,1,
Scápa,ALBERTA,51.87306,-111.98806,agent_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,57000,,
"Sdg. No. 1, Lanigan",SASKATCHEWAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35000,,,,,,,,,,
Secretan,SASKATCHEWAN,50.4708,-106.46286,cgn_direct,,,,,,,,,,,,,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,2,65000,2,65000,2,60000,2,59000,2,59000,4,118000,1,
Sedalia,ALBERTA,51.675,-110.66472,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,32000,1,32000,2,64000,2,64000,2,64000,2,71000,2,71000,4,142000,2,71000
Sedgewick,ALBERTA,52.77472,-111.69278,cgn_direct,3,95000,4,110000,1,,4,110000,4,115000,5,165000,5,142000,5,160000,5,165000,5,175000,5,175000,5,175000,5,175000,5,175000,1,,6,205000,2,75000,6,205000,6,200000,5,187000,5,209000,10,374000,5,187000
Sedley,SASKATCHEWAN,50.1709,-104.01408,cgn_direct,3,88000,3,88000,3,88000,4,113000,4,113000,4,113000,4,113000,4,113000,4,113000,4,123000,4,123000,4,123000,4,123000,4,123000,4,118000,4,118000,5,158000,5,158000,5,155000,5,146500,5,146500,10,293000,1,
Selanders Siding,SASKATCHEWAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,65000,,
Selkirk East,MANITOBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25000,1,25000,,,,,,,,,,,,,,,2,40000
"Selkirk, E",MANITOBA,50.14361,-96.88389,cgn_direct,,,,,,,,,,,,,,,,,,,1,25000,1,25000,1,25000,1,25000,,,,,,,,,,,,,,,,,,,,
"Selkirk, East",MANITOBA,50.14361,-96.88389,cgn_direct,,,1,20000,1,25000,1,25000,,,,,,,,,,,,,,,,,,,,,,,1,25000,1,25000,1,25000,1,25000,2,40000,2,40000,4,80000,,
Semans,SASKATCHEWAN,51.40616,-104.73135,cgn_direct,3,100000,4,130000,4,130000,4,130000,,,4,130000,,,,,5,160000,5,160000,1,,1,,1,,7,222000,7,222000,6,192000,6,190000,1,,6,180000,6,185000,6,186000,12,372000,6,186000
Semaus,SASKATCHEWAN,,,,,,,,,,,,4,130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senate,SASKATCHEWAN,49.27375,-109.70526,cgn_direct,,,,,,,,,,,1,30000,1,30000,2,60000,2,60000,2,60000,2,60000,2,60000,2,60000,2,60000,2,60000,2,60000,2,60000,2,58000,2,55000,2,52000,2,52000,4,104000,2,52000
Senlac,SASKATCHEWAN,52.49314,-109.70824,cgn_direct,1,30000,1,30000,1,30000,1,30000,2,55000,3,90000,3,90000,3,90000,3,90000,3,90000,3,90000,3,90000,3,90000,3,90000,3,90000,3,90000,4,118000,4,125000,4,125000,4,116000,4,114000,8,232000,4,116000
Service,SASKATCHEWAN,49.67281,-102.03874,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,2,60000,1,30000
Seven Persons,ALBERTA,49.87417,-110.90583,cgn_direct,1,35000,2,48000,1,,2,50000,2,50000,2,45000,3,81000,3,84000,3,84000,3,84000,3,84000,3,74000,3,74000,1,30000,1,30000,1,30000,1,28000,1,28000,1,28000,1,25000,1,25000,2,50000,1,25000
Sevick,MANITOBA,52.09597,-101.15292,lynch_map_interp,,,,,,,,,,,,,,,,,,,1,35000,1,35000,1,35000,1,35000,1,30000,1,30000,1,30000,1,30000,1,30000,1,25000,1,25000,2,50000,2,44000,1,22000
Sewans,SASKATCHEWAN,51.40616,-104.73135,agent_medium,,,,,,,,,,,,,5,152000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sewell,MANITOBA,49.27361,-97.47194,cgn_direct,,,,,,,,,,,,,,,,,,,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,24000,1,24000,2,52000,1,26000
Sexsmith,ALBERTA,55.35028,-118.78167,cgn_direct,,,,,,,,,,,2,60000,2,50000,2,50000,2,50000,2,50000,2,50000,2,70000,2,70000,3,102000,3,97000,5,167000,7,277000,7,317000,7,312000,7,375000,7,434000,14,868000,7,434000
Shackleton,SASKATCHEWAN,50.68501,-108.60754,cgn_direct,,,,,2,60000,2,60000,3,90000,4,118000,,,5,153000,5,153000,5,153000,5,153000,5,153000,5,153000,5,153000,5,145000,5,145000,5,145000,5,185000,5,181000,5,166500,5,177000,10,342000,5,171000
Shainrock,SASKATCHEWAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,90000,,,,,,,,
Shamrock,SASKATCHEWAN,50.16072,-106.62495,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,3,90000,3,90000,3,90000,3,90000,3,90000,3,90000,,,3,90000,3,90000,6,180000,3,90000
Shannavon,SASKATCHEWAN,49.65035,-108.41599,agent_high,,,,,,,5,140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharkleton,SASKATCHEWAN,50.68501,-108.60754,agent_high,,,,,,,,,,,,,5,148000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharples,ALBERTA,51.47833,-113.06389,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,1,30000,1,30000,1,30000,1,30000,2,60000,2,65000,2,65000,2,65000,2,65000,2,97000,4,130000,2,65000
Sharrow,ALBERTA,50.91222,-110.17667,cgn_direct,,,,,,,,,,,,,1,35000,1,35000,1,35000,1,35000,1,35000,1,35000,1,35000,1,35000,1,30000,1,30000,1,30000,1,25000,1,25000,,,,,,,,
Shaunavon,SASKATCHEWAN,49.65035,-108.41599,cgn_direct,,,,,2,55000,,,6,150000,7,220000,2,60000,7,230000,6,200000,7,233000,7,233000,7,233000,7,233000,8,265000,8,287000,8,287000,8,287000,7,270000,8,295000,8,268500,8,293000,15,548000,9,289000
Sheerness,ALBERTA,51.48917,-111.67889,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30000,1,30000,1,30000,1,30000,1,30000,2,60000,1,30000
Sheho,SASKATCHEWAN,51.58568,-103.21201,cgn_direct,1,35000,1,35000,1,35000,1,30000,1,30000,2,60000,2,60000,3,90000,3,90000,3,90000,3,90000,3,90000,3,90000,3,90000,3,95000,3,95000,4,130000,4,130000,4,121000,4,118000,4,118000,8,244000,4,122000
Shell Lake,SASKATCHEWAN,53.30552,-107.06449,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,65000,2,65000,2,65000,4,130000,2,65000
Shellbrook,SASKATCHEWAN,53.22033,-106.38854,cgn_direct,2,35000,2,60000,1,,4,115000,2,33000,2,70000,,,3,100000,3,100000,3,100000,4,160000,5,175000,5,175000,5,180000,5,180000,5,175000,5,175000,1,,5,174000,5,207000,5,259000,10,518400,5,235200
Shellmouth,MANITOBA,50.93472,-101.47917,cgn_direct,1,25000,1,25000,1,25000,1,25000,1,25000,1,25000,1,25000,1,37000,1,37000,2,67000,2,67000,2,67000,2,67000,2,67000,2,67000,2,67000,2,67000,2,67000,2,67000,2,62000,4,124000,4,124000,2,62000
Shelvin,MANITOBA,51.19389,-101.20833,agent_medium,,,,,,,,,,,,,,,,,,,,,,,1,30000,1,30000,,,,,,,,,,,,,,,,,,,,
Shepard,ALBERTA,50.95194,-113.90972,cgn_direct,,,1,25000,,,,,,,,,,,,,,,,,,,,,1,30000,1,30000,1,30000,1,30000,2,65000,2,65000,2,65000,2,64000,2,64000,4,128000,2,64000
Shephard,ALBERTA,50.95194,-113.90972,agent_high,1,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shevlin,MANITOBA,51.19389,-101.20833,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,2,60000,2,60000,1,30000
Shipman,SASKATCHEWAN,53.47633,-104.9833,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35000,2,75000,4,150000,2,75000
Shoal Lake,MANITOBA,50.43778,-100.59111,cgn_direct,7,242600,7,247000,6,167000,6,167000,6,165000,4,115000,4,104000,,,,,3,80000,3,80000,3,80000,3,80000,3,80000,3,80000,3,80000,3,87000,3,87000,3,87000,2,60000,2,60000,4,120000,2,60000
Shonta,ALBERTA,,,,,,,,,,1,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shonts,ALBERTA,53.32778,-112.56722,cgn_direct,1,30000,1,30000,1,30000,,,1,30000,1,30000,,,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,2,30000,2,,2,60000,2,60000,2,60000,4,120000,2,60000
Shonts,MANITOBA,,,,,,,,,,,,,,,,1,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shortdale,MANITOBA,51.235,-101.03611,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30000,2,60000,2,60000,1,30000
Shouldice,ALBERTA,50.71667,-112.97389,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,4,142000,4,142000,4,142000,5,172000,5,192000,5,197000,4,158000,4,190000,8,316000,4,158000
Sibbald,ALBERTA,51.38833,-110.15028,cgn_direct,,,1,25000,2,55000,1,,3,90000,4,125000,4,125000,1,,4,175000,4,175000,4,175000,4,165000,4,165000,4,165000,4,125000,4,120000,4,123000,4,123000,4,118000,4,107000,4,139000,8,218000,4,84000
Sidewood,SASKATCHEWAN,50.05003,-108.90072,cgn_direct,,,,,,,1,25000,2,50000,3,80000,3,80000,3,80000,3,80000,3,80000,2,50000,2,50000,2,50000,2,45000,2,50000,2,45000,2,45000,2,55000,2,55000,2,70000,2,65000,4,130000,2,65000
Siding 10..... (Alliance Branch),ALBERTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25000,,,,,,,,,,
Siding 4-4..... (Alliance Subdivision),ALBERTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15000,1,15000,1,15000,,,,,,,,
Siding 4.4,ALBERTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15000,,,,,,,,,,,,,,,,,,
Siding M. 202,MANITOBA,,,,,,,,,,,,,,,,,,,,,,1,30000,1,30000,,,,,,,,,,,,,,,,,,,,,,,,
Siding No. 2 Foam Lake Extension,SASKATCHEWAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,88000,,,,,,,,,,,,
Sidmar,SASKATCHEWAN,50.46954,-104.77178,cgn_direct,,,,,,,,,1,30000,1,25000,1,25000,,,1,25000,1,25000,1,25000,1,25000,1,25000,1,25000,1,25000,1,25000,1,35000,1,30000,1,30000,1,30000,1,30000,2,60000,1,30000
Sidney,MANITOBA,49.9,-99.07889,cgn_direct,2,29000,2,29000,2,29000,2,29000,2,29000,2,29000,2,29000,,,,,1,9000,1,9000,1,9000,1,9000,,,,,,,,,,,,,,,,,1,30000,1,30000
Sifton,MANITOBA,51.36028,-100.1425,cgn_direct,1,25000,1,25000,1,25000,1,25000,1,25000,1,25000,1,,2,55000,4,110000,4,110000,4,110000,3,95000,3,95000,3,95000,2,55000,2,55000,2,55000,2,55000,2,55000,2,50000,4,100000,4,100000,2,50000
Silton,SASKATCHEWAN,50.80647,-104.91098,cgn_direct,1,30000,2,60000,2,60000,2,60000,2,60000,2,55000,3,85000,2,55000,2,55000,2,55000,2,55000,2,55000,2,55000,2,55000,2,60000,2,60000,,,2,58000,2,65000,2,61000,2,61000,4,122000,2,61000
Silver Park,SASKATCHEWAN,52.66285,-104.52144,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,1,30000,3,90000,3,90000,3,90000,3,90000,3,88000,2,60000,2,60000,2,58000,2,60000,4,120000,2,60000
Silver Plains,MANITOBA,49.45861,-97.29583,cgn_direct,1,14000,1,15000,1,15000,1,15000,1,15000,1,30000,1,14000,1,14000,1,14000,1,14000,1,14000,1,14000,1,14000,1,14000,1,14000,1,14000,1,40000,1,40000,1,40000,1,40000,2,80000,2,80000,1,40000
Silverton,MANITOBA,50.76694,-101.15917,cgn_direct,2,55000,2,55000,2,55000,2,55000,2,55000,3,67000,1,,4,116000,4,116000,4,116000,4,116000,4,116000,4,116000,4,116000,4,116000,4,116000,4,126000,4,126000,4,115000,3,93000,6,186000,6,185000,3,93000
Simmie,SASKATCHEWAN,49.94381,-108.10612,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,126500,4,146500,8,298000,4,149000
Simmons,ALBERTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30000,1,30000,2,60000,1,30000
Simpson,SASKATCHEWAN,51.4526,-105.44503,cgn_direct,3,75000,4,105000,4,105000,4,105000,4,105000,5,135000,5,140000,5,150000,5,150000,5,150000,5,150000,5,150000,5,150000,6,182000,6,177000,6,177000,6,172000,6,170000,6,167000,6,165000,6,165000,12,332000,6,166000
Sinclair,MANITOBA,49.56917,-101.28778,cgn_direct,2,59800,3,89000,2,60000,2,60000,2,60000,2,64000,2,64000,,,,,2,64600,2,64600,2,64600,2,64600,2,64600,2,64000,2,64000,3,116000,3,116000,3,116000,3,114000,3,114000,6,228000,3,114000
Sinnett,SASKATCHEWAN,51.90272,-104.91081,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,1,30000,1,30000,1,30000,1,30000,1,30000,2,65000,2,65000,2,65000,2,62000,2,62000,4,124000,2,62000
Sintaluta,SASKATCHEWAN,50.4769,-103.44967,cgn_direct,7,224000,7,224000,6,205000,5,180000,6,210000,5,165000,4,155000,5,165000,5,165000,5,165000,4,140000,4,140000,4,140000,4,120000,4,135000,5,170000,5,170000,5,170000,5,165000,4,136000,4,141000,8,282000,4,141000
Skiff,ALBERTA,49.5025,-111.79111,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,75000,2,75000,2,76000,2,143000,4,222000,2,111000
Slawa,ALBERTA,53.68583,-111.12417,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30000,1,30000,1,30000,2,60500,2,62000,4,124000,2,62000
Smales,SASKATCHEWAN,51.44557,-106.216,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,2,60000,2,60000,2,58000,2,57000,1,,2,60000,2,60000,2,60000,4,120000,2,60000
Smart Siding,MANITOBA,50.00194,-100.05056,agent_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30000,2,60000,2,60000,1,30000
Smeaton,SASKATCHEWAN,53.49143,-104.81091,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35000,3,140000,6,280000,3,140000
Smilcy,SASKATCHEWAN,51.63417,-109.47048,agent_medium,,,,,,,,,,,,,,,,,,,3,60000,,,,,,,,,,,,,,,,,,,,,,,,,,
