station,province,lat,lon,coord_source,1911_n,1911_cap,1912_n,1912_cap,1913_n,1913_cap,1914_n,1914_cap,1915_n,1915_cap,1916_n,1916_cap,1917_n,1917_cap,1918_n,1918_cap,1919_n,1919_cap,1920_n,1920_cap,1921_n,1921_cap,1923_n,1923_cap,1924_n,1924_cap,1925_n,1925_cap,1926_n,1926_cap,1927_n,1927_cap,1928_n,1928_cap,1929_n,1929_cap,1930_n,1930_cap,1939_n,1939_cap,1940_n,1940_cap,1941_n,1941_cap,1943_n,1943_cap
MeMort,SASKATCHEWAN,,,,,,,,,,,,,,,,,,,,5,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meacham,SASKATCHEWAN,52.10023,-105.76488,cgn_direct,,,1,30000,2,60000,1,,2,60000,1,,3,90000,3,90000,3,90000,1,,1,,1,,1,,5,145000,5,145000,5,145000,5,145000,5,150000,5,174000,4,122000,4,122000,8,244000,4,122000
Meachem,SASKATCHEWAN,52.10023,-105.76488,agent_high,1,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meadow Lake,SASKATCHEWAN,54.12411,-108.43591,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,169000,5,239000,10,498000,5,249000
Meadows,MANITOBA,50.02944,-97.59583,cgn_direct,,,1,25000,1,25000,1,25000,1,25000,1,30000,1,25000,1,25000,1,30000,1,30000,1,30000,1,30000,1,30000,,,,,1,25000,1,25000,1,25000,1,25000,1,30000,1,30000,2,60000,1,30000
Meanook,ALBERTA,54.57861,-113.325,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3000,1,25000,1,25000,1,25000,1,25000,1,25000,2,50000,1,25000
Mearns,ALBERTA,53.87139,-113.80389,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,1,30000,1,30000,1,30000,1,30000,2,62000,2,62000,2,67000,2,58000,2,58000,3,58000,2,58000
Meath Park,SASKATCHEWAN,53.44171,-105.36673,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100000,3,152500,6,304500,3,152000
Mecheche,ALBERTA,51.61264,-112.41417,lynch_map_interp,,,,,,,,,1,25000,1,20000,,,,,,,2,90000,2,90000,,,,,,,1,,,,,,,,,,,,,,,,,
Mechechen,ALBERTA,,,,,,,,,,,,,,,,2,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mecheché,ALBERTA,51.6126,-112.4142,lynch_map_interp,,,,,,,,,,,,,,,2,90000,,,,,,,,,2,80000,,,,,,,3,110000,,,,,,,,,,,,
Mecherche,ALBERTA,,,,,,,,,,,,,,,,,,,,2,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mechesche,ALBERTA,51.6126,-112.4142,lynch_map_interp,,,,,,,,,,,,,,,,,,,,,,,,,,,2,80000,,,2,60000,,,3,110000,,,,,,,,,,
Mecheshe,ALBERTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,110000,3,108000,,,,,,
Mechoché,ALBERTA,,,,,,,,,,,,,,,,,,,,,,,,,,2,80000,,,,,,,,,,,,,,,,,,,,,,
Medicine Hat,ALBERTA,50.04083,-110.67667,cgn_direct,1,35000,1,35000,2,435000,1,,3,610000,2,550000,4,135000,5,716000,5,714500,5,714500,5,714500,2,64500,2,64600,5,864500,,,3,800000,3,800000,3,1125000,5,1125000,5,1191000,5,1191000,10,2442000,5,1291000
Medicine Hat Mfg. E,ALBERTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,60000,,,,,,,,,,,,,,
Medicine Hat Mig. E,ALBERTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,60000,,,,,,,,,,,,,,,,
Medora,MANITOBA,49.25472,-100.69611,cgn_direct,3,78500,3,78000,3,82000,3,82000,3,82000,3,85000,3,75000,3,75000,3,75000,3,75000,3,75000,3,75000,3,75000,,,,,3,85000,4,135000,4,137000,4,137000,2,80000,2,80000,4,160000,2,80000
Medstead,SASKATCHEWAN,53.29852,-108.07963,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30000,1,30000,1,30000,1,30000,1,29500,1,30000,1,30000,2,60000,1,30000
